Linux 2.6.18-164.el5 (peglinux1) 	06/05/2010

Time: 07:10:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.10    0.01    9.87    2.49    0.00   86.53

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdau              0.00     0.00  0.33  3.90     5.20    55.33    14.30     0.01    1.38   1.35   0.57
sdau3             0.00     0.00  0.33  3.90     5.20    55.33    14.30     0.01    1.38   1.35   0.57
sdav              0.00     0.00  0.27  5.07     3.87    78.73    15.49     0.00    0.68   0.52   0.28
sdav3             0.00     0.00  0.27  5.07     3.87    78.73    15.49     0.00    0.68   0.52   0.28
sdaw              0.00     0.00  0.67  3.80    12.20    58.20    15.76     0.01    1.72   1.46   0.65
sdaw3             0.00     0.00  0.67  3.80    12.20    58.20    15.76     0.01    1.72   1.46   0.65
sdax              0.00     0.00  0.30  4.77     3.13    49.47    10.38     0.01    1.12   1.03   0.52
sdax3             0.00     0.00  0.30  4.77     3.13    49.47    10.38     0.01    1.12   1.03   0.52
sday              0.00     0.00  0.13  5.27     1.87    50.47     9.69     0.00    0.53   0.41   0.22
sday3             0.00     0.00  0.13  5.27     1.87    50.47     9.69     0.00    0.53   0.41   0.22
sdaz              0.00     0.00  0.13  4.97     0.73    41.07     8.20     0.00    0.45   0.42   0.21
sdaz3             0.00     0.00  0.13  4.97     0.73    41.07     8.20     0.00    0.45   0.42   0.21
sdba              0.00     0.00  0.27  6.00     1.20    56.73     9.24     0.00    0.52   0.51   0.32
sdba3             0.00     0.00  0.27  6.00     1.20    56.73     9.24     0.00    0.52   0.51   0.32
sdbb              0.00     0.00  0.23  6.83     3.13    75.27    11.09     0.00    0.50   0.43   0.30
sdbb3             0.00     0.00  0.23  6.83     3.13    75.27    11.09     0.00    0.50   0.43   0.30
sdbc              0.00     0.00  0.23  6.17     9.07    57.60    10.42     0.00    0.35   0.26   0.17
sdbc3             0.00     0.00  0.23  6.17     9.07    57.60    10.42     0.00    0.35   0.26   0.17
sdbd              0.00     0.00  0.60  5.73     7.80    58.73    10.51     0.01    0.87   0.66   0.42
sdbd3             0.00     0.00  0.60  5.73     7.80    58.73    10.51     0.01    0.87   0.66   0.42
sdbe              0.00     0.00  0.03  5.40     0.07    50.53     9.31     0.00    0.31   0.31   0.17
sdbe3             0.00     0.00  0.03  5.40     0.07    50.53     9.31     0.00    0.31   0.31   0.17
sdbf              0.00     0.00  0.33  5.33     8.60    46.13     9.66     0.01    0.93   0.52   0.30
sdbf3             0.00     0.00  0.33  5.33     8.60    46.13     9.66     0.01    0.93   0.52   0.30
sdbg              0.00     0.00  0.20  4.37     6.47    38.87     9.93     0.00    0.69   0.55   0.25
sdbg3             0.00     0.00  0.20  4.37     6.47    38.87     9.93     0.00    0.69   0.55   0.25
sdbh              0.00     0.00  0.17  3.73     0.60    51.53    13.37     0.00    0.63   0.61   0.24
sdbh3             0.00     0.00  0.17  3.73     0.60    51.53    13.37     0.00    0.63   0.61   0.24
sdbi              0.00     0.00  0.40  2.97     5.73    40.20    13.64     0.00    1.41   0.93   0.31
sdbi3             0.00     0.00  0.40  2.97     5.73    40.20    13.64     0.00    1.41   0.93   0.31
sdbj              0.00     0.00  0.23  3.30     4.93    51.07    15.85     0.00    0.52   0.52   0.18
sdbj3             0.00     0.00  0.23  3.30     4.93    51.07    15.85     0.00    0.52   0.52   0.18
sdbk              0.00     0.00  0.10  4.50     0.27    70.80    15.45     0.00    0.67   0.64   0.30
sdbk3             0.00     0.00  0.10  4.50     0.27    70.80    15.45     0.00    0.67   0.64   0.30
sdbl              0.03     0.00  0.47  4.43     7.07    68.07    15.33     0.01    1.23   1.03   0.51
sdbl3             0.03     0.00  0.47  4.43     7.07    68.07    15.33     0.01    1.23   1.03   0.51
sdbm              0.00     0.00  0.33  4.23     6.60    55.50    13.60     0.00    1.05   1.00   0.46
sdbm3             0.00     0.00  0.33  4.23     6.60    55.50    13.60     0.00    1.05   1.00   0.46
sdbn              0.00     0.00  0.17  6.00     1.80    56.20     9.41     0.00    0.29   0.28   0.17
sdbn3             0.00     0.00  0.17  6.00     1.80    56.20     9.41     0.00    0.29   0.28   0.17
sdbo              0.00     0.00  0.10  5.47     1.20    50.20     9.23     0.00    0.23   0.23   0.13
sdbo3             0.00     0.00  0.10  5.47     1.20    50.20     9.23     0.00    0.23   0.23   0.13
sdbp              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbq              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbr              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbs              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbt              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbu              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbv              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbw              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbx              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdby              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbz              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdca              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcb              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcc              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcd              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
VxVM10            0.03     0.00 19.63 321.77   283.33  3595.47    11.36     0.27    0.81   0.49  16.70

Time: 07:11:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.02    0.00    2.78    1.34    0.00   95.86

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda2              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda6              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda7              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda8              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb2              0.00     0.00  0.00  0.00     0.00     0.00     0.00 614891469123650.75    0.00   0.00 100.01
sdb3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     1.00    0.00   0.00 100.01
sdc               0.00     6.33  0.17  1.13     5.33    59.73    50.05     0.03   23.82   4.85   0.63
sdc1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc2              0.00     0.80  0.17  0.20     5.33     8.00    36.36     0.00    8.73   5.55   0.20
sdc3              0.00     5.53  0.00  0.93     0.00    51.73    55.43     0.03   29.75   4.57   0.43
sdc4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdd               0.00     0.00  0.40  4.57     6.00    39.87     9.23     0.00    0.89   0.82   0.41
sdd3              0.00     0.00  0.40  4.57     6.00    39.87     9.23     0.00    0.89   0.82   0.41
sde               0.00     0.00  0.50  4.07     9.80    39.87    10.88     0.00    0.69   0.58   0.27
sde3              0.00     0.00  0.50  4.07     9.80    39.87    10.88     0.00    0.69   0.58   0.27
sdf               0.00     0.00  0.27  4.47     1.67    37.27     8.23     0.00    1.01   1.00   0.47
sdf3              0.00     0.00  0.27  4.47     1.67    37.27     8.23     0.00    1.01   1.00   0.47
sdg               0.00     0.00  0.33  5.00     3.53    47.00     9.47     0.01    1.17   0.90   0.48
sdg3              0.00     0.00  0.33  5.00     3.53    47.00     9.47     0.01    1.17   0.90   0.48
sdh               0.00     0.00  0.43  3.07     3.40    35.53    11.12     0.00    1.10   1.01   0.35
sdh3              0.00     0.00  0.43  3.07     3.40    35.53    11.12     0.00    1.10   1.01   0.35
sdi               0.00     0.00  0.33  3.03     4.27    39.27    12.93     0.01    1.74   1.08   0.36
sdi3              0.00     0.00  0.33  3.03     4.27    39.27    12.93     0.01    1.74   1.08   0.36
sdj               0.00     0.00  0.43  2.40     7.87    34.07    14.80     0.00    0.92   0.79   0.22
sdj3              0.00     0.00  0.43  2.40     7.87    34.07    14.80     0.00    0.92   0.79   0.22
sdk               0.00     0.00  0.20  1.73     1.60    29.93    16.31     0.00    1.14   1.12   0.22
sdk3              0.00     0.00  0.20  1.73     1.60    29.93    16.31     0.00    1.14   1.12   0.22
sdl               0.00     0.00  0.13  3.17     1.20    44.60    13.88     0.00    0.42   0.35   0.12
sdl3              0.00     0.00  0.13  3.17     1.20    44.60    13.88     0.00    0.42   0.35   0.12
sdm               0.00     0.00  0.23  4.17     1.07    42.60     9.92     0.00    1.00   0.98   0.43
sdm3              0.00     0.00  0.23  4.17     1.07    42.60     9.92     0.00    1.00   0.98   0.43
sdn               0.03     0.00  0.40  5.33     6.27    44.93     8.93     0.00    0.78   0.72   0.41
sdn3              0.03     0.00  0.40  5.33     6.27    44.93     8.93     0.00    0.78   0.72   0.41
sdo               0.00     0.00  0.30  5.70     2.20    53.40     9.27     0.00    0.68   0.52   0.31
sdo3              0.00     0.00  0.30  5.70     2.20    53.40     9.27     0.00    0.68   0.52   0.31
sdp               0.00     0.00  0.27  5.27     2.40    43.00     8.20     0.00    0.66   0.59   0.33
sdp3              0.00     0.00  0.27  5.27     2.40    43.00     8.20     0.00    0.66   0.59   0.33
sdq               0.00     0.00  0.23  5.07     5.67    38.20     8.28     0.00    0.55   0.43   0.23
sdq3              0.00     0.00  0.23  5.07     5.67    38.20     8.28     0.00    0.55   0.43   0.23
sdr               0.00     0.00  0.27  5.07     5.73    47.20     9.93     0.00    0.69   0.68   0.36
sdr3              0.00     0.00  0.27  5.07     5.73    47.20     9.93     0.00    0.69   0.68   0.36
sds               0.00     0.00  0.43  3.67     7.33    34.47    10.20     0.00    0.91   0.72   0.30
sds3              0.00     0.00  0.43  3.67     7.33    34.47    10.20     0.00    0.91   0.72   0.30
sdt               0.00     0.00  0.23  4.53     1.40    40.47     8.78     0.00    0.52   0.51   0.24
sdt3              0.00     0.00  0.23  4.53     1.40    40.47     8.78     0.00    0.52   0.51   0.24
sdu               0.00     0.00  0.40  4.67     7.93    42.07     9.87     0.00    0.67   0.64   0.33
sdu3              0.00     0.00  0.40  4.67     7.93    42.07     9.87     0.00    0.67   0.64   0.33
sdv               0.00     0.00  0.30  4.87     3.93    38.33     8.18     0.01    1.38   0.95   0.49
sdv3              0.00     0.00  0.30  4.87     3.93    38.33     8.18     0.01    1.38   0.95   0.49
sdw               0.00     0.00  0.13  5.43     1.07    48.27     8.86     0.00    0.49   0.45   0.25
sdw3              0.00     0.00  0.13  5.43     1.07    48.27     8.86     0.00    0.49   0.45   0.25
sdx               0.00     0.00  0.40  3.17     1.53    39.47    11.50     0.00    0.97   0.93   0.33
sdx3              0.00     0.00  0.40  3.17     1.53    39.47    11.50     0.00    0.97   0.93   0.33
sdy               0.00     0.00  0.47  2.60     4.47    36.40    13.33     0.00    1.46   1.30   0.40
sdy3              0.00     0.00  0.47  2.60     4.47    36.40    13.33     0.00    1.46   1.30   0.40
sdz               0.00     0.00  0.57  2.30    16.27    38.67    19.16     0.01    3.06   1.35   0.39
sdz3              0.00     0.00  0.57  2.30    16.27    38.67    19.16     0.01    3.06   1.35   0.39
sdaa              0.00     0.00  0.13  1.50     1.00    25.67    16.33     0.00    1.18   1.16   0.19
sdaa3             0.00     0.00  0.13  1.50     1.00    25.67    16.33     0.00    1.18   1.16   0.19
sdab              0.00     0.00  0.33  4.03     2.00    44.77    10.71     0.00    0.79   0.76   0.33
sdab3             0.00     0.00  0.33  4.03     2.00    44.77    10.71     0.00    0.79   0.76   0.33
sdac              0.00     0.00  0.43  4.30     5.60    29.67     7.45     0.00    0.93   0.79   0.37
sdac3             0.00     0.00  0.43  4.30     5.60    29.67     7.45     0.00    0.93   0.79   0.37
sdad              0.00     0.03  0.30  5.50     2.93    48.07     8.79     0.01    0.94   0.75   0.44
sdad3             0.00     0.03  0.30  5.50     2.93    48.07     8.79     0.01    0.94   0.75   0.44
sdae              0.00     0.00  0.53  5.13    10.07    40.53     8.93     0.01    1.14   0.84   0.47
sdae3             0.00     0.00  0.53  5.13    10.07    40.53     8.93     0.01    1.14   0.84   0.47
sdaf              0.00     0.00  0.50  4.80     7.67    42.60     9.48     0.01    1.13   0.94   0.50
sdaf3             0.00     0.00  0.50  4.80     7.67    42.60     9.48     0.01    1.13   0.94   0.50
sdag              0.00     0.00  0.43  5.27     7.93    44.20     9.15     0.00    0.87   0.85   0.48
sdag3             0.00     0.00  0.43  5.27     7.93    44.20     9.15     0.00    0.87   0.85   0.48
sdah              0.00     0.00  0.23  5.37     0.60    48.27     8.73     0.00    0.64   0.63   0.35
sdah3             0.00     0.00  0.23  5.37     0.60    48.27     8.73     0.00    0.64   0.63   0.35
sdai              0.00     0.00  0.27  3.83     2.33    21.87     5.90     0.00    0.53   0.52   0.21
sdai3             0.00     0.00  0.27  3.83     2.33    21.87     5.90     0.00    0.53   0.52   0.21
sdaj              0.00     0.00  0.23  4.37     3.20    36.67     8.67     0.00    0.66   0.60   0.28
sdaj3             0.00     0.00  0.23  4.37     3.20    36.67     8.67     0.00    0.66   0.60   0.28
sdak              0.00     0.00  0.27  4.37     3.20    39.80     9.28     0.00    0.60   0.53   0.24
sdak3             0.00     0.00  0.27  4.37     3.20    39.80     9.28     0.00    0.60   0.53   0.24
sdal              0.00     0.00  0.23  5.00     5.00    38.33     8.28     0.00    0.49   0.45   0.24
sdal3             0.00     0.00  0.23  5.00     5.00    38.33     8.28     0.00    0.49   0.45   0.24
sdam              0.00     0.00  0.17  3.10     2.00    37.13    11.98     0.00    0.44   0.43   0.14
sdam3             0.00     0.00  0.17  3.10     2.00    37.13    11.98     0.00    0.44   0.43   0.14
sdan              0.00     0.00  0.43  3.00     6.47    38.40    13.07     0.00    1.12   0.89   0.31
sdan3             0.00     0.00  0.43  3.00     6.47    38.40    13.07     0.00    1.12   0.89   0.31
sdao              0.00     0.00  0.40  2.77     5.40    37.20    13.45     0.00    1.11   1.05   0.33
sdao3             0.00     0.00  0.40  2.77     5.40    37.20    13.45     0.00    1.11   1.05   0.33
sdap              0.00     0.00  0.43  2.43     7.60    25.07    11.40     0.00    1.72   1.55   0.44
sdap3             0.00     0.00  0.43  2.43     7.60    25.07    11.40     0.00    1.72   1.55   0.44
sdaq              0.00     0.00  0.23  2.53     3.07    29.00    11.59     0.00    0.77   0.70   0.19
sdaq3             0.00     0.00  0.23  2.53     3.07    29.00    11.59     0.00    0.77   0.70   0.19
sdar              0.00     0.00  0.27  4.77     1.27    39.00     8.00     0.00    0.80   0.80   0.40
sdar3             0.00     0.00  0.27  4.77     1.27    39.00     8.00     0.00    0.80   0.80   0.40
sdas              0.00     0.00  0.50  5.00     8.27    42.53     9.24     0.00    0.73   0.59   0.32
sdas3             0.00     0.00  0.50  5.00     8.27    42.53     9.24     0.00    0.73   0.59   0.32
sdat              0.00     0.00  0.27  5.33     1.87    49.00     9.08     0.00    0.88   0.88   0.49
sdat3             0.00     0.00  0.27  5.33     1.87    49.00     9.08     0.00    0.88   0.88   0.49
sdau              0.00     0.00  0.23  4.90     1.73    39.40     8.01     0.00    0.73   0.69   0.36
sdau3             0.00     0.00  0.23  4.90     1.73    39.40     8.01     0.00    0.73   0.69   0.36
sdav              0.00     0.00  0.30  6.07     5.60    51.73     9.01     0.01    0.84   0.61   0.39
