Linux 2.6.18-164.el5 (redhat1.vxindia.veritas.com) 	07/10/2010 	_x86_64_	(1 CPU)

01:40:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
02:02:11 PM       0      0.20     39.40     22.00     38.20      0.00      0.00      0.20      0.00      0.00
02:02:21 PM     all      0.10     35.80     20.00     43.90      0.00      0.10      0.10      0.00      0.00
02:02:21 PM       0      0.10     35.80     20.00     43.90      0.00      0.10      0.10      0.00      0.00
02:02:31 PM     all      0.10     37.78     22.04     40.08      0.00      0.00      0.00      0.00      0.00
02:02:31 PM       0      0.10     37.78     22.04     40.08      0.00      0.00      0.00      0.00      0.00
02:02:41 PM     all      0.30     26.77     15.45     57.27      0.00      0.10      0.10      0.00      0.00
02:02:41 PM       0      0.30     26.77     15.45     57.27      0.00      0.10      0.10      0.00      0.00
02:02:51 PM     all      0.20     48.39     26.61     24.50      0.00      0.10      0.20      0.00      0.00
02:02:51 PM       0      0.20     48.39     26.61     24.50      0.00      0.10      0.20      0.00      0.00
02:03:01 PM     all      0.10     44.59     25.92     29.29      0.00      0.00      0.10      0.00      0.00
02:03:01 PM       0      0.10     44.59     25.92     29.29      0.00      0.00      0.10      0.00      0.00
02:03:11 PM     all      0.21     37.66     21.03     41.11      0.00      0.00      0.00      0.00      0.00
02:03:11 PM       0      0.21     37.66     21.03     41.11      0.00      0.00      0.00      0.00      0.00
02:03:21 PM     all      0.20     34.84     19.88     44.98      0.00      0.00      0.10      0.00      0.00
02:03:21 PM       0      0.20     34.84     19.88     44.98      0.00      0.00      0.10      0.00      0.00
02:03:31 PM     all      0.10     33.20     19.37     47.12      0.00      0.10      0.10      0.00      0.00
02:03:31 PM       0      0.10     33.20     19.37     47.12      0.00      0.10      0.10      0.00      0.00
02:03:41 PM     all      0.20     32.25     17.19     50.05      0.00      0.10      0.20      0.00      0.00
02:03:41 PM       0      0.20     32.25     17.19     50.05      0.00      0.10      0.20      0.00      0.00
02:03:51 PM     all      0.50     36.46     20.64     42.30      0.00      0.00      0.10      0.00      0.00
