
    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    2     0     0   141899  650340  234   68     0    0     0    0     0   1040   7781   361  15  1 84
    2     0     0   141899  650501  258   72     0    0     0    0     0   1053   8537   380  15  1 84
    2     0     0   141899  650501  246   68     0    0     0    0     0   1043   8068   365  18  1 81
    2     0     0   141899  650340  230   62     0    0     0    0     0   1040   7629   355  13  1 86
    2     0     0   141899  650671  262   70     0    0     0    0     0   1046   8486   374  15  2 83
    2     0     0   141899  650340  242   64     0    0     0    0     0   1036   7937   358  17  2 81
    2     0     0   141899  650340  232   60     0    0     0    0     0   1037   7587   349  13  1 86
    2     0     0   141899  650344  267   67     0    0     0    0     0   1065  10351   386  19  3 78
    1     0     0   139907  650199  252   63     0    0     0    0     0   1053   9506   371  18  0 82
    1     0     0   139907  650212  241   61     0    0     0    0     0   1046   8834   355  12  3 85
    1     0     0   139907  650199  261   78     0    0     0    0     0   1052   9452   377  16  0 84
    1     0     0   139907  650530  243   77     0    0     0    0     0   1044   8759   361  18  1 81
    1     0     0   139907  650199  228   76     0    0     0    0     0   1045   8195   343  14  2 84
    1     0     0   139907  650199  235   90     0    0     0    0     0   1049   8310   361  14  0 86
    1     0     0   139907  650212  237   87     0    0     0    0     0   1048   8438   349  17  1 82
    1     0     0   139907  650199  224   84     0    0     0    0     0   1040   7941   335  16  2 82
    1     0     0   139907  650199  214   82     0    0     0    0     0   1038   7667   342  13  0 87
    1     0     0   139907  650530  204   80     0    0     0    0     0   1037   7205   321   9  1 90
    2     0     0   132123  650199  191   73     0    0     0    0     0   1060   6860   322  13  2 85

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    2     0     0   132123  650263  194   81     0    0     0    0     0   1073   7039   346  14  0 86
    2     0     0   132123  650203  198   69     0    0     0    0     0   1062  12937   340  16  5 79
    2     0     0   132123  648024  329   56     0    0     0    0     0   1218  17005   319   3  1 96
    2     0     0   132123  650529  316   50     0    0     0    0     0   1176  14195   287   5  0 95
    2     0     0   132123  650671  253   40     0    0     0    0     0   1143  11549   260   0  1 99
    2     0     0   132123  650670  202   32     0    0     0    0     0   1119   9291   227   0  0 100
    2     0     0   132123  650670  162   25     0    0     0    0     0   1099   7462   202   0  1 99
    2     0     0   132123  650670  129   20     0    0     0    0     0   1083   5994   184   0  0 100
    2     0     0   132123  650670  103   16     0    0     0    0     0   1070   4823   166   0  0 100
    1     0     0   124013  650670   83   12     0    0     0    0     0   1060   3908   153   0  0 100
    1     0     0   124013  650670   67    9     0    0     0    0     0   1056   3152   142   0  0 100
