CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
 44    0   0    1     5    0    6    0    0    0    0     2    0   0   0 100
 45    1   0  111    34    6   59    0    3    0    4   114    1   0   0  99
 46  100   0 1617   148   14  235    1    6    4    7   286    3   2   0  95
 47   17   0  103    26    0   30    0    1    2    0   166    0   0   0 100
 48    0   0    0     3    0    1    0    0    0    0     1    0   0   0 100
 49    0   0    0     4    0    4    0    1    0    0     1    0   0   0 100
 50    0   0   21    24    0   44    0    0    0    0     0    0   0   0 100
 51    0   0    0     3    0    1    0    0    2    0    43    0   0   0 100
 52    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 53    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 54    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 55    1   0  117    82   12  119    5    2    2    8  7787   69   1   0  30
 56   50   0  613   104   12   97    0    9    3    0   219    1   1   0  99
 57    0   0    5    20    2   16    1    1    5    0   819    0   5   0  94
 58    0   0    1     8    6    0    0    0    0    0     0    0   0   0 100
 59    0   0    2    14    5   15    0    1    0    0     5    0   0   0 100
 60   12   0   91    10    0   10    0    1    1    0     9    0   0   0 100
 61   25   0   89     5    0    6    0    1    0    0    17    0   0   0 100
 62    0   0    1     8    1    9    0    0    0    0     2    0   2   0  98
 63    0   0   10    34    0   28    0    2    0    0     2    0   0   0 100
Sun Jul 11 16:16:58 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0    0   0   34   248   18   59    0    0    0    0    37    0   2   0  98
  1   41   0  274    80    2   79    0    4    5    0   194    0   1   0  99
  2    0   0    2     3    0    4    0    0    0    0     0    0   0   0 100
  3    0   0    2     8    0   14    0    0    0    0     5    0   0   0 100
  4    0   0    1     5    0    9    0    1    0    0     3    0   0   0 100
  5    0   0    0    39   19   38    0    0    0    0    38    0   0   0 100
  6    0   0    4     9    0    9    0    0    0    0     1    0   0   0 100
  7    0   0    0     2    0    2    0    0    0    0    33    0   0   0 100
  8    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  9    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 10    0   0 22407     9    0    0    7    0    2    0   664   20  80   0   0
 11    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 12    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 13    0   0    0     2    0    2    0    0    0    0     0    0   0   0 100
 14    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 15    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 16    0   0    2     8    0   15    0    1    0    0     5    0   0   0 100
 17    0   0    1     5    0    7    0    0    0    0     2    0   0   0 100
 18    0   0    1     6    0   11    0    0    0    0     4    0   0   0 100
 19    0   0   33   128   25  146    0    4    0    0    49    0   0   0 100
